,Tag_ID,Lat,Long,Tagging_Date,Observations,Duration (Days)
1,112692,-64.80599976,-63.89498901,1/4/2012,374,64.3
2,112704,-64.79000092,-64.19198608,1/4/2012,31,2.3
3,112705,-67.82800293,-68.76699829,1/19/2012,788,51.2
4,112699,-68.56099701,-74.77801514,1/28/2012,2515,141.1
5,112703,-64.80500031,-63.89898682,1/30/2012,423,38.1
6,112701,-64.72599792,-62.81201172,1/31/2012,950,80.5
7,121208,-64.82499695,-62.66101074,2/6/2013,141,12.4
8,121210,-64.84300232,-62.93200684,2/6/2013,2553,88.5
9,123224,-64.87200165,-62.61801147,2/6/2013,1864,107.5
10,123231,-64.73400116,-62.76098633,2/6/2013,111,8.3
11,123236,-64.83799744,-62.61801147,2/6/2013,1147,40.7
12,112737,-64.58000183,-62.16299438,2/7/2013,1488,68.7
13,112738,-64.65299988,-62.1579895,2/7/2013,1602,63.7
14,121211,-64.56700134,-62.66101074,2/7/2013,932,37.5
15,121212,-64.63500214,-62.23699951,2/7/2013,137,4.6
16,123232,-64.67199707,-62.09799194,2/7/2013,1996,80
17,112746,-64.98300171,-63.26501465,2/8/2013,1854,60.7
18,121207,-64.63999939,-62.20800781,2/13/2013,2424,86
19,131141,-64.81099701,-63.82699585,1/8/2015,722,23.9
20,131151,-64.93499756,-64.44699097,1/8/2015,2461,63.4
21,131153,-64.97699738,-64.60800171,1/8/2015,1278,34.7
22,131143,-64.90599823,-64.32598877,1/9/2015,2003,74.9
23,131144,-64.83300018,-64.14001465,1/9/2015,1353,89.4
24,131146,-66.03900146,-65.58200073,1/30/2015,639,16.2
25,131147,-65.77600098,-64.90100098,1/31/2015,1420,32.8
26,131142,-64.908,-63.663,1/13/2016,1351,36.8
27,131158,-64.932,-64.258,1/13/2016,446,13
28,131159,-64.797,-64.088,1/13/2016,754,23.7
29,131162,-64.941,-64.242,1/13/2016,2270,61.8
30,131156,-64.857,-64.179,1/14/2016,1990,47.4
31,131115,-64.113,-61.065,2/26/2016,153,4
32,131116,-64.119,-61.014,2/27/2016,390,10.4
33,154186,-64.093,-61.049,2/27/2016,106,3.3
34,131111,-64.093,-60.992,3/22/2016,176,6.1
35,154187,-64.112,-60.984,3/22/2016,402,13.5
36,131127,-64.546,-62.299,4/26/2016,2257,79.5
37,131128,-64.551,-62.269,4/26/2016,47,1.7
38,131130,-65.037,-63.344,4/26/2016,141,4
39,131132,-65.064,-63.389,4/26/2016,536,14.7
40,131133,-64.551,-62.278,4/26/2016,1899,70
41,131134,-65.038,-63.316,4/26/2016,502,17.3
42,131136,-64.561,-62.243,4/26/2016,1795,64.9
